epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,895.374,3.62108,2.86973,1.5258,0,0,0,0,5.43607,7.66053,2.83791,0.004555,0.004555,0.004555
57,910.986,3.50989,2.65532,1.506,0,0,0,0,5.34478,7.66586,2.83056,0.004456,0.004456,0.004456
58,927.348,3.38844,2.58313,1.40922,0,0,0,0,5.19526,7.65626,2.6961,0.004357,0.004357,0.004357
59,943.025,3.40404,2.72509,1.48686,0,0,0,0,5.13654,7.65156,2.65849,0.004258,0.004258,0.004258
60,958.761,3.41238,2.69875,1.49623,0,0,0,0,5.12183,7.62598,2.61894,0.004159,0.004159,0.004159
61,974.456,3.24163,2.59777,1.53295,0,0,0,0,5.13591,7.66635,2.57021,0.00406,0.00406,0.00406
62,990.766,3.24455,2.42908,1.46397,0,0,0,0,5.30337,7.72113,2.52689,0.003961,0.003961,0.003961
63,1006.35,3.23519,2.3633,1.36736,0,0,0,0,5.36169,7.7484,2.50899,0.003862,0.003862,0.003862
64,1021.81,3.15239,2.33316,1.45634,0,0,0,0,5.38748,7.76001,2.57374,0.003763,0.003763,0.003763
65,1037.47,3.08954,2.35621,1.35966,0,0,0,0,5.43497,7.70848,2.60252,0.003664,0.003664,0.003664
66,1053.21,3.12199,2.17906,1.38663,0,0,0,0,5.43898,7.70153,2.56377,0.003565,0.003565,0.003565
67,1069.25,2.95804,2.21182,1.39301,0,0,0,0,5.44444,7.68415,2.63761,0.003466,0.003466,0.003466
68,1084.93,3.02508,2.1417,1.44559,0,0,0,0,5.40958,7.67601,2.70692,0.003367,0.003367,0.003367
69,1100.58,2.96233,2.09806,1.35735,0,0,0,0,5.47245,7.6505,2.78955,0.003268,0.003268,0.003268
70,1116.22,2.7981,2.14369,1.27526,0,0,0,0,5.56727,7.58269,2.69273,0.003169,0.003169,0.003169
71,1132.27,2.84366,2.15296,1.32557,0,0,0,0,5.5158,7.45347,2.57951,0.00307,0.00307,0.00307
72,1148.23,2.90082,2.17956,1.27696,0,0,0,0,5.50031,7.45262,2.54239,0.002971,0.002971,0.002971
73,1163.97,2.81456,2.0582,1.2654,0,0,0,0,5.50494,7.65274,2.60716,0.002872,0.002872,0.002872
74,1179.5,2.81897,1.97686,1.27611,0,0,0,0,5.43342,7.72816,2.55583,0.002773,0.002773,0.002773
75,1195.83,2.67539,1.93664,1.244,0,0,0,0,5.47443,7.71824,2.52139,0.002674,0.002674,0.002674
76,1211.39,2.81186,1.90351,1.27081,0,0,0,0,5.48141,7.7456,2.47035,0.002575,0.002575,0.002575
77,1227.11,2.66209,1.90034,1.24708,0,0,0,0,5.49528,7.75264,2.5162,0.002476,0.002476,0.002476
78,1242.51,2.73379,1.83889,1.27791,0,0,0,0,5.47196,7.79089,2.63313,0.002377,0.002377,0.002377
79,1258.48,2.56691,1.93809,1.23214,0,0,0,0,5.42538,7.84716,2.75854,0.002278,0.002278,0.002278
80,1274.48,2.57492,1.92177,1.24665,0,0,0,0,5.41842,7.86066,2.8166,0.002179,0.002179,0.002179
81,1290.1,2.60039,1.86374,1.2964,0,0,0,0,5.47509,7.80428,2.71142,0.00208,0.00208,0.00208
82,1305.71,2.55972,1.82956,1.20552,0,0,0,0,5.48594,7.7934,2.61537,0.001981,0.001981,0.001981
83,1321.62,2.63972,1.79964,1.23577,0,0,0,0,5.49602,7.79208,2.59056,0.001882,0.001882,0.001882
84,1337.89,2.56245,1.85957,1.22521,0,0,0,0,5.48655,7.82315,2.56678,0.001783,0.001783,0.001783
85,1353.54,2.48941,1.92193,1.23088,0,0,0,0,5.48646,7.81757,2.54145,0.001684,0.001684,0.001684
86,1369.39,2.50165,1.75172,1.22188,0,0,0,0,5.51873,7.76073,2.47108,0.001585,0.001585,0.001585
87,1385.17,2.58116,1.83806,1.23216,0,0,0,0,5.50302,7.66901,2.43081,0.001486,0.001486,0.001486
88,1400.92,2.40343,1.85483,1.15872,0,0,0,0,5.5121,7.72233,2.49107,0.001387,0.001387,0.001387
89,1417.08,2.43412,1.766,1.16401,0,0,0,0,5.50809,7.7805,2.55855,0.001288,0.001288,0.001288
90,1432.73,2.4751,1.81378,1.1992,0,0,0,0,5.48997,7.79198,2.59162,0.001189,0.001189,0.001189
91,1449.41,2.4291,1.91745,1.29717,0,0,0,0,5.48136,7.80458,2.58852,0.00109,0.00109,0.00109
92,1465.17,2.39224,1.76599,1.26746,0,0,0,0,5.49105,7.80908,2.55859,0.000991,0.000991,0.000991
93,1481.46,2.27935,1.74857,1.24554,0,0,0,0,5.46562,7.84726,2.56197,0.000892,0.000892,0.000892
94,1497.34,2.34477,1.72333,1.25469,0,0,0,0,5.44035,7.87562,2.59115,0.000793,0.000793,0.000793
95,1513.09,2.22247,1.72247,1.23084,0,0,0,0,5.41847,7.89291,2.6164,0.000694,0.000694,0.000694
96,1528.44,2.16626,1.73135,1.21406,0,0,0,0,5.40407,7.90684,2.62833,0.000595,0.000595,0.000595
97,1544.51,2.13294,1.59593,1.19567,0,0,0,0,5.38924,7.91757,2.62679,0.000496,0.000496,0.000496
98,1560.32,2.23063,1.65203,1.23282,0,0,0,0,5.39979,7.92451,2.60339,0.000397,0.000397,0.000397
99,1575.89,2.27778,1.65089,1.24247,0,0,0,0,5.41448,7.91676,2.58334,0.000298,0.000298,0.000298
100,1591.73,2.14105,1.6184,1.18657,0,0,0,0,5.42382,7.9117,2.57251,0.000199,0.000199,0.000199
