epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,923.191,1.21724,1.32776,1.42244,0.45904,0.78341,0.47378,0.32763,1.18911,1.28613,1.57128,0.005644,0.005644,0.005644
46,943.209,1.16861,1.30988,1.42486,0.46565,0.79139,0.48216,0.32109,1.2012,1.28933,1.59426,0.005545,0.005545,0.005545
47,962.823,1.26533,1.36717,1.46215,0.47057,0.80001,0.4957,0.33417,1.1759,1.26726,1.58054,0.005446,0.005446,0.005446
48,982.988,1.19444,1.32416,1.44313,0.46565,0.78066,0.48861,0.33634,1.19202,1.33769,1.59488,0.005347,0.005347,0.005347
49,1003.2,1.18337,1.26149,1.4363,0.47361,0.77072,0.49618,0.34449,1.18375,1.31947,1.5767,0.005248,0.005248,0.005248
50,1023.07,1.18287,1.28849,1.38165,0.45003,0.76608,0.46483,0.30078,1.28922,1.37564,1.66475,0.005149,0.005149,0.005149
51,1042.9,1.20113,1.28138,1.45471,0.4657,0.75116,0.49122,0.33381,1.20309,1.29428,1.59487,0.00505,0.00505,0.00505
52,1062.76,1.21754,1.29545,1.42141,0.44773,0.63252,0.40969,0.2709,1.31456,1.69501,1.70838,0.004951,0.004951,0.004951
53,1082.97,1.1753,1.30578,1.38767,0.45789,0.81203,0.49672,0.33794,1.16266,1.29212,1.5572,0.004852,0.004852,0.004852
54,1103.13,1.17892,1.26655,1.41366,0.45406,0.7348,0.47066,0.30246,1.26261,1.37425,1.68446,0.004753,0.004753,0.004753
55,1122.82,1.14634,1.32261,1.39777,0.43732,0.78547,0.47577,0.32384,1.18326,1.36782,1.57918,0.004654,0.004654,0.004654
56,1142.92,1.18406,1.30007,1.38522,0.46474,0.77438,0.47654,0.31858,1.25298,1.3571,1.6442,0.004555,0.004555,0.004555
57,1163.16,1.15298,1.2869,1.40117,0.46242,0.77743,0.4907,0.34021,1.18045,1.30687,1.56855,0.004456,0.004456,0.004456
58,1182.96,1.15964,1.31858,1.38292,0.46451,0.79327,0.49293,0.34228,1.1691,1.28488,1.57629,0.004357,0.004357,0.004357
59,1203,1.16105,1.2745,1.40452,0.431,0.82345,0.49407,0.33326,1.16408,1.28716,1.57769,0.004258,0.004258,0.004258
60,1222.74,1.13602,1.24576,1.34448,0.45181,0.81366,0.48835,0.33805,1.11822,1.221,1.51366,0.004159,0.004159,0.004159
61,1242.95,1.13869,1.20635,1.41403,0.45825,0.81361,0.4885,0.34718,1.13981,1.30607,1.53215,0.00406,0.00406,0.00406
62,1262.99,1.16589,1.24684,1.4048,0.4692,0.80466,0.48866,0.33861,1.1314,1.22859,1.52517,0.003961,0.003961,0.003961
63,1282.89,1.14315,1.26822,1.34947,0.45599,0.83994,0.50044,0.33662,1.20078,1.28533,1.59027,0.003862,0.003862,0.003862
64,1302.56,1.13695,1.23376,1.37894,0.46486,0.78695,0.4842,0.33657,1.15835,1.29095,1.55478,0.003763,0.003763,0.003763
65,1322.74,1.13824,1.23493,1.40713,0.45728,0.83087,0.4938,0.33803,1.13548,1.22961,1.52754,0.003664,0.003664,0.003664
66,1342.66,1.12716,1.24337,1.36747,0.42624,0.64762,0.41229,0.26961,1.31766,1.62407,1.77753,0.003565,0.003565,0.003565
67,1362.69,1.18332,1.20775,1.42534,0.45842,0.82799,0.49381,0.3356,1.18774,1.25915,1.57806,0.003466,0.003466,0.003466
68,1382.56,1.16062,1.22148,1.46272,0.46287,0.81017,0.49484,0.32413,1.18306,1.24944,1.56246,0.003367,0.003367,0.003367
69,1402.69,1.19782,1.25637,1.3819,0.46503,0.80716,0.49673,0.33816,1.19775,1.26304,1.5852,0.003268,0.003268,0.003268
70,1422.42,1.11098,1.23999,1.35345,0.45496,0.7251,0.45197,0.31163,1.18332,1.40777,1.56903,0.003169,0.003169,0.003169
71,1442.23,1.29473,1.29077,1.46959,0.46065,0.78327,0.45908,0.31797,1.19713,1.39619,1.57919,0.00307,0.00307,0.00307
72,1462.02,1.17854,1.21533,1.37526,0.4594,0.79865,0.49177,0.32998,1.22,1.25583,1.59832,0.002971,0.002971,0.002971
73,1482.35,1.12525,1.21041,1.32873,0.46162,0.803,0.49949,0.33583,1.16453,1.26071,1.53808,0.002872,0.002872,0.002872
74,1502.25,1.20987,1.26224,1.39832,0.4653,0.79751,0.48752,0.3363,1.12877,1.23752,1.53131,0.002773,0.002773,0.002773
75,1522.23,1.1114,1.19905,1.37889,0.44825,0.82397,0.49178,0.33168,1.16996,1.22003,1.58071,0.002674,0.002674,0.002674
76,1541.87,1.08839,1.18319,1.32342,0.4448,0.76172,0.47741,0.33049,1.12912,1.28468,1.51789,0.002575,0.002575,0.002575
77,1562.28,1.11594,1.20206,1.34847,0.46322,0.78717,0.49762,0.35189,1.08822,1.20488,1.48151,0.002476,0.002476,0.002476
78,1582.48,1.08305,1.15847,1.34247,0.47027,0.84249,0.50609,0.35304,1.11127,1.19617,1.49483,0.002377,0.002377,0.002377
79,1602.51,1.07576,1.18338,1.33663,0.48181,0.79349,0.50595,0.35559,1.10511,1.22836,1.48348,0.002278,0.002278,0.002278
80,1622.64,1.029,1.1282,1.26546,0.47287,0.79555,0.5017,0.34575,1.13264,1.20796,1.52761,0.002179,0.002179,0.002179
81,1642.9,1.0387,1.12565,1.29348,0.46567,0.84295,0.51673,0.363,1.08341,1.16796,1.4851,0.00208,0.00208,0.00208
82,1663.06,1.01531,1.14249,1.29934,0.47616,0.85212,0.51761,0.3641,1.08858,1.16222,1.49825,0.001981,0.001981,0.001981
83,1683.08,1.02289,1.1243,1.28239,0.46944,0.84074,0.51617,0.36616,1.10418,1.16412,1.51301,0.001882,0.001882,0.001882
84,1703.02,1.06068,1.12847,1.30604,0.46735,0.82312,0.52003,0.36155,1.06751,1.15304,1.47421,0.001783,0.001783,0.001783
85,1723.25,1.06233,1.17853,1.29077,0.46989,0.83735,0.51893,0.35929,1.08222,1.16033,1.47205,0.001684,0.001684,0.001684
86,1743.12,0.98008,1.08631,1.23672,0.46257,0.82912,0.51707,0.35497,1.10987,1.17782,1.49518,0.001585,0.001585,0.001585
87,1762.94,1.03038,1.13785,1.27702,0.46931,0.83903,0.5191,0.36214,1.09901,1.15443,1.49727,0.001486,0.001486,0.001486
