epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9318,1.42903,4.93721,1.31944,0.43937,0.51638,0.41483,0.27722,1.20392,1.83339,1.26879,0.000552509,0.000552509,0.000552509
2,86.3849,1.36958,2.00597,1.24204,0.39016,0.57108,0.3619,0.18702,1.41644,2.57919,1.38506,0.00109721,0.00109721,0.00109721
3,121.016,1.35499,1.77509,1.26072,0.41357,0.66557,0.42915,0.27247,1.36752,1.64992,1.32496,0.0016309,0.0016309,0.0016309
4,155.597,1.33111,1.60128,1.29385,0.43698,0.74345,0.46168,0.32334,1.1611,1.49652,1.21475,0.00161749,0.00161749,0.00161749
5,190.111,1.29743,1.5653,1.27793,0.42303,0.76598,0.48973,0.34979,1.12304,1.41432,1.15895,0.00160099,0.00160099,0.00160099
6,224.773,1.23197,1.46004,1.23984,0.47802,0.74589,0.5213,0.35407,1.10187,1.38523,1.18958,0.00158448,0.00158448,0.00158448
7,259.348,1.25623,1.49757,1.26711,0.4668,0.68729,0.49988,0.33421,1.22949,1.37899,1.27869,0.00156798,0.00156798,0.00156798
8,294.436,1.17855,1.38654,1.22245,0.45239,0.77299,0.52728,0.36402,1.12291,1.2805,1.19007,0.00155148,0.00155148,0.00155148
9,329.51,1.19432,1.34756,1.215,0.45799,0.84169,0.50756,0.34792,1.11252,1.29451,1.15986,0.00153497,0.00153497,0.00153497
10,363.961,1.17075,1.34023,1.27003,0.44653,0.77765,0.4941,0.33837,1.14873,1.28477,1.20522,0.00151847,0.00151847,0.00151847
11,398.613,1.23668,1.46472,1.26608,0.49654,0.79012,0.49697,0.34557,1.11256,1.27544,1.20738,0.00150197,0.00150197,0.00150197
12,433.609,1.13572,1.31111,1.2018,0.48223,0.82312,0.51469,0.36668,1.0842,1.1758,1.16047,0.00148546,0.00148546,0.00148546
13,468.396,1.1523,1.25286,1.21481,0.45987,0.8217,0.52675,0.36542,1.12516,1.19773,1.20036,0.00146896,0.00146896,0.00146896
14,503.801,1.15604,1.30883,1.2258,0.46374,0.80584,0.49516,0.34428,1.09126,1.29115,1.18139,0.00145246,0.00145246,0.00145246
